,Method,extractor,train_RMSE,test_RMSE,test_MAE,testMAPE
0,dummy,DischargeModelFeatureExtractor,375.7268981933594,419.521728515625,341.193115234375,0.1826719045639038
1,dummy,FullModelFeatureExtractor,375.7268981933594,419.521728515625,341.193115234375,0.1826719045639038
2,dummy,VarianceModelFeatureExtractor,375.7268981933594,419.521728515625,341.193115234375,0.1826719045639038
3,dummy,VoltageCapacityMatrixFeatureExtractor,375.7268981933594,419.521728515625,341.193115234375,0.1826719045639038
4,linear regression,DischargeModelFeatureExtractor,275.9328308105469,321.57330322265625,264.0398254394531,0.1368839591741562
5,linear regression,FullModelFeatureExtractor,227.0758056640625,335.0266418457031,269.73663330078125,0.14071528613567352
6,linear regression,VarianceModelFeatureExtractor,371.7598876953125,398.1423034667969,319.19122314453125,0.16721756756305695
7,linear regression,VoltageCapacityMatrixFeatureExtractor,0.0011669169180095196,51846.62109375,15696.560546875,9.92451000213623
8,gpr,DischargeModelFeatureExtractor,7.16646094432831e-05,308.76699617625314,249.6518081403841,0.12887949764157794
9,gpr,FullModelFeatureExtractor,7.165935245086591e-05,346.51748343484275,279.971074933748,0.14579759605695114
10,gpr,VarianceModelFeatureExtractor,,,,
11,gpr,VoltageCapacityMatrixFeatureExtractor,7.167067969339434e-05,54212.04971690397,14669.109637370977,9.453156956915567
12,pcr,DischargeModelFeatureExtractor,,,,
13,pcr,FullModelFeatureExtractor,,,,
14,pcr,VarianceModelFeatureExtractor,,,,
15,pcr,VoltageCapacityMatrixFeatureExtractor,262.26116850388377,17571.7382210526,4136.426930845321,2.4105266158014933
16,plsr,DischargeModelFeatureExtractor,,,,
17,plsr,FullModelFeatureExtractor,inf,inf,inf,inf
18,plsr,VarianceModelFeatureExtractor,,,,
19,plsr,VoltageCapacityMatrixFeatureExtractor,173.41926914203785,9037.045020867396,2998.401383419801,1.8611680203741583
20,rf,DischargeModelFeatureExtractor,119.01785881922194,283.2641937586795,222.077162237424,0.11262008491999706
21,rf,FullModelFeatureExtractor,108.7958042133547,300.4346811691122,218.0623520682179,0.11346587266121788
22,rf,VarianceModelFeatureExtractor,178.45670535776645,360.12550150707324,297.67242258857306,0.15500481740220312
23,rf,VoltageCapacityMatrixFeatureExtractor,136.0252897257871,370.5896979984106,337.07863485356296,0.18394895833003053
24,ridge,DischargeModelFeatureExtractor,276.0602973600774,308.7669044786654,249.65146740010428,0.12887920347507256
25,ridge,FullModelFeatureExtractor,245.608262742286,345.8340660173741,279.7347301975838,0.14575944715992592
26,ridge,VarianceModelFeatureExtractor,371.7231227527709,398.43462421569234,319.3809149514212,0.16738748576922757
27,ridge,VoltageCapacityMatrixFeatureExtractor,56.336745800554475,54194.842453485144,14665.833364597476,9.450929854816785
