,Method,extractor,train_RMSE,test_RMSE,test_MAE,testMAPE
0,dummy,DischargeModelFeatureExtractor,375.7268981933594,419.521728515625,341.193115234375,18.26719093322754
1,dummy,FullModelFeatureExtractor,375.7268981933594,419.521728515625,341.193115234375,18.26719093322754
2,dummy,VarianceModelFeatureExtractor,375.7268981933594,419.521728515625,341.193115234375,18.26719093322754
3,dummy,VoltageCapacityMatrixFeatureExtractor,375.7268981933594,419.521728515625,341.193115234375,18.26719093322754
4,linear regression,DischargeModelFeatureExtractor,275.9328308105469,321.57330322265625,264.0398254394531,13.688395500183105
5,linear regression,FullModelFeatureExtractor,227.0758056640625,335.0266418457031,269.73663330078125,14.071528434753418
6,linear regression,VarianceModelFeatureExtractor,371.7598876953125,398.1423034667969,319.19122314453125,16.721755981445312
7,linear regression,VoltageCapacityMatrixFeatureExtractor,0.0011669169180095196,51846.62109375,15696.560546875,992.4509887695312
8,gpr,DischargeModelFeatureExtractor,7.16646094432831e-05,308.76699617625314,249.6518081403841,12.887949764157794
9,gpr,FullModelFeatureExtractor,7.165935245086591e-05,346.51748343484275,279.971074933748,14.579759605695115
10,gpr,VarianceModelFeatureExtractor,,,,
11,gpr,VoltageCapacityMatrixFeatureExtractor,7.167067969339434e-05,54212.04971690397,14669.109637370977,945.3156956915567
12,pcr,DischargeModelFeatureExtractor,,,,
13,pcr,FullModelFeatureExtractor,,,,
14,pcr,VarianceModelFeatureExtractor,,,,
15,pcr,VoltageCapacityMatrixFeatureExtractor,262.26116850388377,17571.7382210526,4136.426930845321,241.05266158014933
16,plsr,DischargeModelFeatureExtractor,,,,
17,plsr,FullModelFeatureExtractor,inf,inf,inf,inf
18,plsr,VarianceModelFeatureExtractor,,,,
19,plsr,VoltageCapacityMatrixFeatureExtractor,173.41926914203785,9037.045020867396,2998.401383419801,186.11680203741582
20,rf,DischargeModelFeatureExtractor,119.01785881922194,283.2641937586795,222.077162237424,11.262008491999707
21,rf,FullModelFeatureExtractor,108.7958042133547,300.4346811691122,218.0623520682179,11.346587266121787
22,rf,VarianceModelFeatureExtractor,178.45670535776645,360.12550150707324,297.67242258857306,15.500481740220312
23,rf,VoltageCapacityMatrixFeatureExtractor,136.0252897257871,370.5896979984106,337.07863485356296,18.39489583300305
24,ridge,DischargeModelFeatureExtractor,276.0602973600774,308.7669044786654,249.65146740010428,12.887920347507256
25,ridge,FullModelFeatureExtractor,245.608262742286,345.8340660173741,279.7347301975838,14.575944715992591
26,ridge,VarianceModelFeatureExtractor,371.7231227527709,398.43462421569234,319.3809149514212,16.738748576922756
27,ridge,VoltageCapacityMatrixFeatureExtractor,56.336745800554475,54194.842453485144,14665.833364597476,945.0929854816785
